"Instante lectura","Chuvia"
"2019-06-10 00:00:00.0","0.0"
"2019-06-11 00:00:00.0","0.0"
"2019-06-12 00:00:00.0","0.0"
"2019-06-13 00:00:00.0","0.0"
"2019-06-14 00:00:00.0","0.0"
"2019-06-15 00:00:00.0","0.0"
"2019-06-16 00:00:00.0","0.0"
"2019-06-17 00:00:00.0","0.0"
"2019-06-18 00:00:00.0","4.7"
"2019-06-19 00:00:00.0","0.5"
"2019-06-20 00:00:00.0","1.9"
"2019-06-21 00:00:00.0","0.0"
"2019-06-22 00:00:00.0","1.5"
"2019-06-23 00:00:00.0","23.3"
"2019-06-24 00:00:00.0","0.0"
"2019-06-25 00:00:00.0","0.9"
"2019-06-26 00:00:00.0","0.0"
"2019-06-27 00:00:00.0","0.0"
"2019-06-28 00:00:00.0","0.0"
"2019-06-29 00:00:00.0","0.0"
"2019-06-30 00:00:00.0","0.0"
"2019-07-01 00:00:00.0","0.0"
"2019-07-02 00:00:00.0","0.0"
"2019-07-03 00:00:00.0","0.4"
"2019-07-04 00:00:00.0","0.0"
"2019-07-05 00:00:00.0","0.0"
"2019-07-06 00:00:00.0","0.0"
"2019-07-07 00:00:00.0","0.0"
"2019-07-08 00:00:00.0","2.4"
"2019-07-09 00:00:00.0","0.0"
"2019-07-10 00:00:00.0","0.0"
"2019-07-11 00:00:00.0","0.0"
"2019-07-12 00:00:00.0","0.0"
"2019-07-13 00:00:00.0","2.0"
"2019-07-14 00:00:00.0","0.0"
"2019-07-15 00:00:00.0","0.0"
"2019-07-16 00:00:00.0","0.0"
"2019-07-17 00:00:00.0","0.0"
"2019-07-18 00:00:00.0","0.0"
"2019-07-19 00:00:00.0","0.0"
"2019-07-20 00:00:00.0","0.0"
"2019-07-21 00:00:00.0","0.0"
"2019-07-22 00:00:00.0","0.0"
"2019-07-23 00:00:00.0","1.1"
"2019-07-24 00:00:00.0","0.0"
"2019-07-25 00:00:00.0","2.1"
"2019-07-26 00:00:00.0","0.0"
"2019-07-27 00:00:00.0","1.5"
"2019-07-28 00:00:00.0","0.0"
"2019-07-29 00:00:00.0","0.0"
"2019-07-30 00:00:00.0","0.0"
"2019-07-31 00:00:00.0","0.0"
"2019-08-01 00:00:00.0","0.0"
"2019-08-02 00:00:00.0","0.0"
"2019-08-03 00:00:00.0","0.0"
"2019-08-04 00:00:00.0","0.0"
"2019-08-05 00:00:00.0","0.0"
"2019-08-06 00:00:00.0","0.0"
"2019-08-07 00:00:00.0","4.6"
"2019-08-08 00:00:00.0","4.0"
"2019-08-09 00:00:00.0","1.2"
"2019-08-10 00:00:00.0","0.0"
"2019-08-11 00:00:00.0","0.0"
"2019-08-12 00:00:00.0","0.0"
"2019-08-13 00:00:00.0","0.0"
"2019-08-14 00:00:00.0","0.0"
"2019-08-15 00:00:00.0","0.0"
"2019-08-16 00:00:00.0","0.0"
"2019-08-17 00:00:00.0","0.0"
"2019-08-18 00:00:00.0","7.4"
"2019-08-19 00:00:00.0","0.0"
"2019-08-20 00:00:00.0","0.0"
"2019-08-21 00:00:00.0","0.0"
"2019-08-22 00:00:00.0","0.0"
"2019-08-23 00:00:00.0","0.0"
